GO_ID	pValues	interestCount	backgroundCount
GO:0051148	1.0	0	6
GO:0051147	1.0	0	9
GO:0006275	0.010926164134419648	8	45
GO:0045740	1.0	0	29
GO:0051054	0.24850146150336413	1	4
GO:0051052	1.0	0	7
GO:0072189	0.3003092864980996	1	5
GO:0018146	0.6811720512583292	1	16
GO:0016236	0.9280740682051348	3	82
GO:0006914	0.6853643553758313	5	83
GO:0010521	0.3934631811564106	1	7
GO:0004857	1.0	0	63
GO:0032804	0.19286060605380606	1	3
GO:0042177	0.4741033370244409	3	37
GO:0060009	0.3934631811564106	1	7
GO:0000289	0.06970463116826818	4	23
GO:2000510	0.3934631811564106	1	7
GO:0071677	1.0	0	7
GO:0032927	0.24850146150336413	1	4
GO:0090092	1.0	0	6
GO:2000781	0.11047239970280993	6	48
GO:0045739	0.5925340225939816	3	44
GO:0006282	0.44013269270408656	5	63
GO:0080135	1.0	0	23
GO:2000779	0.12348721452333014	4	28
GO:0008094	0.9054572450332443	1	33
